schema_name,function_name,identity_arguments,definition
auth,email,,"CREATE OR REPLACE FUNCTION auth.email()
 RETURNS text
 LANGUAGE sql
 STABLE
AS $function$
  select 
  coalesce(
    nullif(current_setting('request.jwt.claim.email', true), ''),
    (nullif(current_setting('request.jwt.claims', true), '')::jsonb ->> 'email')
  )::text
$function$
"
auth,jwt,,"CREATE OR REPLACE FUNCTION auth.jwt()
 RETURNS jsonb
 LANGUAGE sql
 STABLE
AS $function$
  select 
    coalesce(
        nullif(current_setting('request.jwt.claim', true), ''),
        nullif(current_setting('request.jwt.claims', true), '')
    )::jsonb
$function$
"
auth,role,,"CREATE OR REPLACE FUNCTION auth.role()
 RETURNS text
 LANGUAGE sql
 STABLE
AS $function$
  select 
  coalesce(
    nullif(current_setting('request.jwt.claim.role', true), ''),
    (nullif(current_setting('request.jwt.claims', true), '')::jsonb ->> 'role')
  )::text
$function$
"
auth,uid,,"CREATE OR REPLACE FUNCTION auth.uid()
 RETURNS uuid
 LANGUAGE sql
 STABLE
AS $function$
  select 
  coalesce(
    nullif(current_setting('request.jwt.claim.sub', true), ''),
    (nullif(current_setting('request.jwt.claims', true), '')::jsonb ->> 'sub')
  )::uuid
$function$
"
public,append_unread_for,"conv_id uuid, profile_id text","CREATE OR REPLACE FUNCTION public.append_unread_for(conv_id uuid, profile_id text)
 RETURNS void
 LANGUAGE sql
 SECURITY DEFINER
AS $function$
  UPDATE conversations
  SET unread_for = array_append(unread_for, profile_id)
  WHERE id = conv_id AND NOT (unread_for @> ARRAY[profile_id]);
$function$
"
public,handle_new_user,,"CREATE OR REPLACE FUNCTION public.handle_new_user()
 RETURNS trigger
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
declare
  reserved_handle text;
  assigned_handle text;
  meta_handle text;
begin
  insert into public.users (id, role, email_notifications, created_at)
  values (new.id, 'user', true, now());

  meta_handle := lower(trim(coalesce(new.raw_user_meta_data->>'handle', '')));

  if meta_handle != '' then
    assigned_handle := meta_handle;
  else
    select handle into reserved_handle
    from public.reserved_handles
    where email = new.email
      and consumed = false
      and expires_at > now()
    order by reserved_at desc
    limit 1;

    if reserved_handle is not null then
      update public.reserved_handles
      set consumed = true, consumed_at = now()
      where email = new.email and handle = reserved_handle and consumed = false;

      assigned_handle := reserved_handle;
    else
      assigned_handle := 'user_' || substr(new.id::text, 1, 8);
    end if;
  end if;

  insert into public.profiles (user_id, type, handle, display_name, created_at, updated_at)
  values (
    new.id,
    'personal',
    assigned_handle,
    coalesce(new.raw_user_meta_data->>'full_name', 'New User'),
    now(),
    now()
  );

  return new;
end;
$function$
"
public,increment_view_count,listing_id uuid,"CREATE OR REPLACE FUNCTION public.increment_view_count(listing_id uuid)
 RETURNS void
 LANGUAGE sql
 SECURITY DEFINER
AS $function$
  UPDATE listings SET view_count = view_count + 1 WHERE id = listing_id AND status = 'active';
$function$
"
public,remove_unread_for,"conv_id uuid, profile_id text","CREATE OR REPLACE FUNCTION public.remove_unread_for(conv_id uuid, profile_id text)
 RETURNS void
 LANGUAGE sql
 SECURITY DEFINER
AS $function$
  UPDATE conversations
  SET unread_for = array_remove(unread_for, profile_id)
  WHERE id = conv_id;
$function$
"
public,update_conversation_last_message,,"CREATE OR REPLACE FUNCTION public.update_conversation_last_message()
 RETURNS trigger
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
begin
  update conversations set
    last_message_at = NEW.created_at,
    last_message_body = left(NEW.body, 120)
  where id = NEW.conversation_id;
  return NEW;
end;
$function$
"
public,update_listing_search_vector,,"CREATE OR REPLACE FUNCTION public.update_listing_search_vector()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
begin
  new.search_vector :=
    setweight(to_tsvector('english', coalesce(new.title, '')), 'A') ||
    setweight(to_tsvector('english', coalesce(new.description, '')), 'B') ||
    setweight(to_tsvector('english', coalesce(array_to_string(new.tags, ' '), '')), 'C');
  return new;
end;
$function$
"
